Timestamp,"""I am feeling too lazy to meet my friends, AALSI them later.""","""Why did the dog wag its TAIL? Because it found TEL and thought it was food.""","When the fire broke out, the lawyer said LAU and Order","""Main aaj nahaya nahi, Koi BATH nahi""",Why did the sand feel lonely? Because it was stuck in the BEACH of two shores,"Why did the heart go shopping? Because it was looking for some good ""deals"" to mend its broken ""dil""!","Why did the lawyer go to the language class? To understand LEGAL or LING?""","""Teacher to student: Why did you CHEAT in the exam? Student: Sir, mujhe laga copying UCHIT hai""",Why did the politician win the award? Because he was the best SACHIV to ACHIEVE his goals,"Why did the number want to know its AGE? Because it wanted to be as TEJ as possible!""","""Why did the bird go to the therapist? Because it had trouble with its EAGLE and kept NIGALing","When the doctor asked about the ORIGIN of my health issues, I replied 'VAJAN kam karne ki koshish kar raha hoon","""Why did the oil go to the party? To TEL everyone how slippery it can be""","""Who called it Sunday and not Sone de?""","""Why did the man go to the fruit market? To find a perfect MEL""","""Why did the cricket player feel happy after scoring runs? Because he GAINED the GEND""","""Why did the sand feel lonely? Because it was stuck in the BEACH BICH""","""Why did the actor refuse to perform on the STAGE? Because it was too TEJ!""","""Hiroshima went for a singing competition, but Hiroshima Nagasaki.""","Why did the furniture decide to stay in one place? Because it wanted to SETTLE in its STHAL""","""Allah ka SOCCER hai ki mera school football team me selection ho gaya.""","""Why did the fire get arrested? Because it broke the LAU!""",Why did the legal document break up with the ling? Because it couldn't handle the gender bias!,Why did the male go to the bakery? Because he wanted to mel some bread!,"I gained a lot of weight playing gend, now I'm a rounder player!"
20/03/2024 13:48:30,5,5,3,5,1,5,3,5,4,5,3,3,3,5,3,2,2,3,5,5,5,2,4,3,2
20/03/2024 13:55:50,5,3,5,5,5,4,5,5,5,5,3,3,5,5,3,3,4,4,5,1,5,3,4,3,3
20/03/2024 13:58:37,5,4,3,4,4,5,1,2,1,5,2,4,4,4,2,5,3,5,5,4,4,5,3,3,2
20/03/2024 13:59:04,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/03/2024 13:59:46,5,4,3,4,3,5,3,5,3,4,3,3,4,5,5,3,3,3,3,3,4,3,5,3,4
20/03/2024 13:59:56,5,5,5,4,4,5,3,5,3,2,3,2,5,1,3,2,2,3,5,3,5,1,3,3,3
20/03/2024 14:07:50,4,1,1,5,4,2,1,2,1,1,1,1,3,2,2,1,2,1,5,1,3,1,3,1,1
20/03/2024 14:11:26,4,1,3,2,1,2,,3,2,1,1,1,2,3,1,2,2,1,5,2,1,1,1,1,2
20/03/2024 14:11:33,,,,,,,,,,,,,,,,,,,,,,,,,
20/03/2024 14:12:56,4,3,1,4,1,2,,1,1,1,1,1,2,1,1,5,2,1,3,1,1,1,2,1,1
20/03/2024 14:13:21,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/03/2024 14:15:11,4,1,1,3,1,2,1,1,1,1,1,1,3,4,1,1,1,1,2,1,1,1,1,1,3
20/03/2024 14:23:26,5,1,2,5,3,2,4,3,4,2,1,3,4,5,1,1,1,1,5,2,4,3,1,3,4
20/03/2024 14:23:45,5,5,4,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,3,5,4,5,5,5
20/03/2024 14:27:01,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,3,5,2,5,5,4,3,5,2,5
20/03/2024 14:27:10,5,1,1,5,5,5,5,5,5,1,5,5,5,5,1,5,3,1,5,1,1,1,5,1,5
20/03/2024 14:28:39,2,1,1,3,1,2,1,1,2,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1
20/03/2024 14:29:13,5,1,5,1,1,3,1,3,3,4,1,1,4,5,1,1,3,2,3,1,1,1,1,1,1
20/03/2024 14:35:09,3,1,1,2,1,2,1,2,2,1,1,4,2,4,1,1,2,1,3,1,2,1,1,1,3
20/03/2024 14:35:38,5,4,3,4,3,4,4,3,4,3,4,4,5,4,3,3,3,4,5,3,4,3,3,3,
20/03/2024 14:39:57,3,5,5,5,4,5,3,5,5,3,3,5,5,5,3,5,5,3,5,3,3,5,3,2,3
20/03/2024 14:40:41,4,4,4,5,4,4,3,5,4,3,4,3,5,3,4,4,3,4,5,4,3,4,4,4,4
20/03/2024 14:48:01,5,1,1,3,3,3,1,1,4,2,1,1,4,5,1,1,3,1,1,1,1,4,1,1,1
20/03/2024 14:51:49,,4,3,,,4,4,1,,3,3,,,5,,,3,,3,3,,,2,,3
20/03/2024 14:52:07,5,4,2,2,5,4,4,3,4,4,3,2,2,3,3,2,2,5,2,2,5,2,2,2,4
20/03/2024 14:53:27,3,3,4,5,3,5,4,2,4,3,4,4,3,5,4,4,2,3,3,3,5,4,3,5,4
20/03/2024 14:53:37,5,4,3,5,3,5,1,2,4,3,3,3,3,5,2,1,3,3,5,1,4,3,1,1,1
20/03/2024 14:56:48,5,3,1,3,2,4,1,4,3,3,1,3,3,4,3,5,2,1,3,3,4,1,1,1,2
20/03/2024 15:02:12,5,4,5,5,5,5,3,4,4,5,5,5,5,5,3,4,5,5,5,3,5,5,5,5,5
20/03/2024 15:05:33,5,4,5,5,5,5,1,5,5,1,1,5,4,5,4,5,5,5,2,5,1,1,3,3,3
20/03/2024 15:05:54,5,1,3,5,1,3,2,2,2,2,2,1,3,5,1,2,5,2,5,2,2,5,3,4,3
20/03/2024 15:11:26,5,3,2,4,4,3,2,4,3,4,3,2,3,4,3,2,4,2,4,2,2,3,2,1,4
20/03/2024 15:13:10,4,2,3,4,4,4,3,3,3,3,4,3,4,5,3,3,3,3,4,2,5,3,3,2,2
20/03/2024 15:14:29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20/03/2024 15:14:52,3,4,4,5,4,4,3,4,5,5,5,5,5,5,4,3,3,3,5,5,5,1,1,3,5
20/03/2024 15:16:55,5,5,4,5,5,4,3,3,4,5,4,2,5,5,3,5,3,3,5,5,4,4,3,3,5
20/03/2024 15:23:41,3,2,2,3,3,2,3,3,2,3,2,1,3,4,2,2,3,2,2,3,2,3,2,2,1
20/03/2024 15:42:40,2,3,1,2,2,2,2,3,2,2,2,2,1,2,2,2,3,2,2,3,2,2,2,3,2
20/03/2024 16:14:58,5,1,5,5,3,3,1,4,3,2,2,1,5,3,2,2,3,1,4,1,4,5,3,2,3
20/03/2024 16:20:27,5,3,5,5,4,5,5,5,5,4,5,1,5,4,4,3,4,3,4,3,1,4,4,5,5
20/03/2024 16:34:13,4,3,4,4,3,4,3,3,4,3,4,3,4,4,4,4,3,3,4,4,4,3,4,3,4
20/03/2024 16:38:12,5,5,5,5,4,4,3,5,5,3,4,5,5,5,5,5,4,4,5,3,4,5,4,4,4
20/03/2024 16:40:05,5,1,3,3,1,1,3,2,1,2,5,1,3,3,1,1,1,1,5,1,2,4,2,1,3
20/03/2024 16:40:37,5,5,5,2,5,4,4,4,2,4,5,4,4,5,4,5,5,4,5,4,5,3,5,5,4
20/03/2024 17:10:45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20/03/2024 17:32:31,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20/03/2024 17:33:19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
20/03/2024 17:45:56,4,4,3,3,2,4,4,4,4,2,3,4,4,5,1,4,3,2,4,3,,2,3,3,4
20/03/2024 17:52:31,4,4,4,4,5,4,4,4,3,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,4
20/03/2024 17:53:30,3,1,2,3,2,2,1,1,1,1,1,2,3,2,2,2,2,2,3,,4,1,1,1,1
20/03/2024 18:54:38,1,1,1,1,1,3,2,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,3,2,1
20/03/2024 19:41:26,2,2,3,4,3,4,2,4,3,2,1,2,3,4,2,2,3,2,4,1,1,1,2,1,4
20/03/2024 20:46:38,5,5,5,4,2,3,2,4,5,4,4,1,5,5,5,4,3,2,5,1,5,5,4,5,2
21/03/2024 02:02:43,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1
21/03/2024 05:00:21,4,3,4,3,4,3,3,3,3,3,3,4,3,3,4,4,3,3,3,2,4,2,2,2,4
21/03/2024 07:14:28,4,1,1,4,1,2,1,3,2,3,1,1,2,4,1,2,1,1,4,1,3,1,2,2,2